分析,analyze
途徑,approach
區域,area
評估,assess
假設,assume
權威,authority
可用,available
受益,benefit
概念,concept
一致,consist
憲法,constitution
背景,context
契約,contract
創造,create
數據,data
定義,define
衍生,derive
分佈,distribute
經濟,economy
環境,environment
建立,establish
估計,estimate
證據,evidence
出口,export
因素,factor
財政,finance
公式,formula
功能,function
識別,identify
收入,income
指示,indicate
個人,individual
解釋,interpret
涉及,involve
發行,issue
勞動力,labour
法律,legal
立法,legislate
主要,major
方法,method
發生,occur
百分比,percent
時期,period
政策,policy
原則,principle
程序,proceed
過程,process
項目,project
要求,require
研究,research
反應,respond
角色,role
章節,section
部門,sector
顯著,significant
類似,similar
來源,source
特定,specific
結構,structure
理論,theory
變量,variable
達成,achieve
獲得,acquire
管理,administer
影響,affect
分配,appropriate
方面,aspect
協助,assist
類別,category
章節,chapter
委託,commission
社區,community
複雜,complex
計算,compute
結論,conclude
導電,conduct
後果,consequent
構成,construct
消耗,consume
信用,credit
文化,culture
設計,design
區別,distinct
元素,element
強調,emphasize
評估,evaluate
特徵,feature
最終,final
關注,focus
衝擊,impact
傷害,injure
研究所,institute
投資,invest
項目,item
雜誌,journal
維護,maintain
正常,normal
獲得,obtain
參與,participate
感知,perceive
潛力,potential
之前,previous
主要,primary
購買,purchase
範圍,range
地區,region
法規,regulate
相關,relevant
居住,reside
資源,resource
限制,restrict
安全,secure
尋求,seek
選擇,select
策略,strategy
調查,survey
傳統,tradition
傳送,transfer
替代,alternative
環境,circumstance
評論,comment
補償,compensate
成分,component
同意,consent
相當,considerable
常數,constant
約束,constrain
貢獻,contribute
核心,core
企業,corporate
對應,correspond
標準,criteria
推導,deduce
展示,demonstrate
記錄,document
主導,dominate
強調,emphasis
確保,ensure
實體,entity
排除,exclude
框架,framework
基金,fund
說明,illustrate
移民,immigrate
暗示,imply
最初,initial
實施,instance
交互,interact
正義,justify
層次,layer
鏈接,link
定位,locate
最大,maximize
少數,minor
否定,negate
結果,outcome
合夥,partner
哲學,philosophy
物理,physical
比例,proportion
出版,publish
反應,react
註冊,register
依賴,rely
移除,remove
方案,scheme
序列,sequence
性別,sex
轉移,shift
具體,specify
足夠,sufficient
技術,technical
技術,technique
技術,technology
有效,valid
體積,volume
訪問,access
適應,adequate
年度,annual
預測,apparent
近似,approximate
態度,attitude
屬性,attribute
文明,civil
代碼,code
致力,commit
溝通,communicate
集中,concentrate
會議,confer
對比,contrast
循環,cycle
辯論,debate
儘管,despite
維度,dimension
國內,domestic
出現,emerge
錯誤,error
種族,ethnic
目標,goal
授予,grant
因此,hence
假設,hypothesis
實施,implement
暗示,implicate
施加,impose
集成,integrate
調查,investigate
標籤,label
機制,mechanism
明顯,obvious
佔用,occupy
選項,option
輸出,output
總體,overall
平行,parallel
參數,parameter
階段,phase
預測,predict
優先,prior
主要,principal
專業,professional
項目,project
推廣,promote
制度,regime
決議,resolve
保留,retain
系列,series
統計,statistic
狀態,status
壓力,stress
後續,subsequent
總結,sum
摘要,summary
承擔,undertake
學術,academic
調整,adjust
改變,alter
修正,amend
能力,capacity
條款,clause
衝突,conflict
諮詢,consult
聯繫,contact
拒絕,decline
離散,discrete
起草,draft
啟用,enable
能量,energy
執行,enforce
實體,entity
相當,equivalent
進化,evolve
擴張,expand
暴露,expose
外部,external
便利,facilitate
意圖,intent
邏輯,logic
邊際,margin
修改,modify
監測,monitor
網絡,network
概念,notion
客觀,objective
方向,orient
透視,perspective
精確,precise
心理,psychology
追逐,pursue
比率,ratio
拒絕,reject
收入,revenue
穩定,stable
風格,style
替代,substitute
維護,sustain
符號,symbol
目標,target
過渡,transit
趨勢,trend
版本,version
福利,welfare
抽象,abstract
準確,accurate
承認,acknowledge
聚合,aggregate
分配,allocate
分配,assign
附屬,attach
作者,author
債券,bond
簡短,brief
能力,capable
引用,cite
合作,cooperate
歧視,discriminate
展示,display
多樣,diverse
領域,domain
編輯,edit
增強,enhance
資產,estate
超過,exceed
專家,expert
明確,explicit
聯邦,federal
費用,fee
靈活,flexible
基礎,fundamental
無視,ignore
激勵,incentive
合併,incorporate
指數,index
抑制,inhibit
啟動,initiate
輸入,input
指示,instruct
智力,intelligence
間隔,interval
講座,lecture
遷移,migrate
最低,minimum
部,ministry
動機,motive
中立,neutral
然而,nevertheless
新的,novel
典型,paradigm
現象,phenomenon
優先,priority
引用,quote
發布,release
反向,reverse
模擬,simulate
唯一,sole
稍微,somewhat
提交,submit
繼承,successor
生存,survive
論文,thesis
主題,topic
傳輸,transmit
最終,ultimate
獨特,unique
可見,visible
適應,adapt
成年,adult
倡導,advocate
援助,aid
渠道,channel
化學,chemical
經典,classic
全面,comprehensive
包括,comprise
確認,confirm
相反,contrary
轉換,convert
對十年,decade
明確,definite
否定,deny
區分,differentiate
處置,dispose
動態,dynamic
配備,equip
消除,eliminate
有限,finite
基礎,foundation
全球,global
層次,hierarchy
相同,identical
思想,ideology
推斷,infer
創新,innovate
插入,insert
干預,intervene
孤立,isolate
媒體,media
模式,mode
範例,paradigm
現象,phenomenon
出版,publication
引述,quote
釋放,release
倒轉,reverse
模拟,simulate
唯一,sole
有些,somewhat
提交,submit
繼承,successor
生存,survive
論文,thesis
主題,topic
傳輸,transmit
最終,ultimate
獨特,unique
可見,visible
自願,voluntary
放棄,abandon
伴隨,accompany
積累,accumulate
曖昧,ambiguous
附錄,appendix
讚賞,appreciate
任意,arbitrary
自動,automatic
偏見,bias
圖表,chart
清澈,clarify
商品,commodity
補充,complement
符合,conform
當代,contemporary
矛盾,contradict
關鍵,crucial
貨幣,currency
表示,denote
偵測,detect
偏差,deviate
取代,displace
劇烈,drama
最終,eventual
展示,exhibit
利用,exploit
波動,fluctuate
指南,guideline
強調,highlight
隱含,implicit
誘導,induce
必然,inevitable
基礎,infrastructure
檢查,inspect
強度,intensity
操縱,manipulate
最小,minimize
修改,modify
抵消,offset
段落,paragraph
長久,plus
從業,practitioner
主要,predominant
